DEFENSIVE STOCKS DURING ELECTION CRASH - NIFTY 500,,,,,
,,,,,
"Stock Screener, Technical Analysis Scanner",,,,,
Sr.,Stock Name,Symbol,% Chg,Price,Volume
322,Graphite India Limited,GRAPHITE,-9%,524.15,"1,102,781"
435,Bandhan Bank Ltd,BANDHANBNK,-9%,177.25,"23,184,484"
428,Gujarat State Fertilizers & Chemicals Limited,GSFC,-9%,198.95,"4,180,709"
223,Jindal Steel & Power Limited,JINDALSTEL,-9.2%,960.15,"5,964,333"
359,Honasa Consumer Ltd,HONASA,-9%,416.10,"399,831"
450,Indiabulls Housing Finance Limited,IBULHSGFIN,-9%,145.40,"11,419,270"
406,Aditya Birla Fashion And Retail Limited,ABFRL,-9%,265.40,"10,436,705"
209,Amara Raja Energy & Mobility Ltd,ARE&M,-10%,"1,082.30","3,779,425"
87,Gujarat Fluorochemicals Ltd,FLUOROCHEM,-10%,"2,782.40","366,408"
150,Carborundum Universal Limited,CARBORUNIV,-10%,"1,512.60","136,559"
343,Exide Industries Limited,EXIDEIND,-10%,455.45,"10,982,923"
104,Shriram Finance Ltd,SHRIRAMFIN,-9.9%,"2,260.70","3,557,725"
214,Tejas Networks,TEJASNET,-10%,"1,053.00","1,077,030"
348,Syrma SGS Technology Ltd,SYRMA,-10%,446.30,"1,697,547"
485,Irb Infrastructure Developers Limited,IRB,-10%,65.55,"177,923,891"
457,Inox Wind Limited,INOXWIND,-10%,138.05,"13,501,101"
383,Adani Wilmar Ltd,AWL,-10%,331.45,"7,245,279"
405,JSW Infrastructure Ltd,JSWINFRA,-10%,266.15,"8,273,636"
458,Nbcc (india) Limited,NBCC,-10%,135.60,"31,478,865"
128,Cochin Shipyard,COCHINSHIP,-10%,"1,811.70","5,677,652"
157,Bharat Dynamics Ltd,BDL,-10%,"1,436.85","3,342,860"
181,Garden Reach Shipbuilders & Engineers Ltd,GRSE,-10%,"1,275.65","1,383,908"
156,Bharat Forge Limited,BHARATFORG,-10%,"1,446.25","3,325,214"
401,Iti Limited,ITI,-10%,274.70,"2,063,640"
267,Kec International Limited,KEC,-10%,696.90,"477,482"
143,Olectra Greentech Ltd,OLECTRA,-10%,"1,621.45","1,946,862"
423,Aditya Birla Capital Ltd,ABCAPITAL,-10%,206.10,"18,092,800"
123,Century Textiles & Industries Limited,CENTURYTEX,-10%,"1,896.75","592,556"
193,Brigade Enterprises Limited,BRIGADE,-10%,"1,228.55","627,869"
236,Chennai Petroleum Corporation Limited,CHENNPETRO,-10%,872.30,"1,563,522"
216,Elecon Engineering Company Limited,ELECON,-10%,"1,030.35","448,578"
14,Dixon Technologies,DIXON,-10%,"8,851.40","838,141"
282,Ramkrishna Forgings Limited,RKFORGE,-11%,634.25,"816,349"
484,RattanIndia Enterprises Ltd,RTNINDIA,-11%,66.00,"8,498,869"
436,Karur Vysya Bank Limited,KARURVYSYA,-11%,177.00,"3,518,372"
311,Shyam Metalics & Energy Ltd,SHYAMMETL,-11%,552.30,"971,852"
456,Zee Entertainment Enterprises Limited,ZEEL,-11%,138.85,"31,735,462"
298,Oil India Limited,OIL,-11%,594.50,"6,718,932"
413,Nmdc Limited,NMDC,-11%,237.30,"32,014,391"
15,Solar Industries India Limited,SOLARINDS,-12%,"8,705.60","363,871"
491,NMDC Steel Ltd,NSLNISP,-12%,55.05,"26,912,512"
12,Hitachi Energy India Ltd,POWERINDIA,-12%,"9,800.35","130,387"
77,Multi Commodity Exchange Of India Limited,MCX,-12%,"3,219.00","2,683,005"
446,Indian Oil Corporation Limited,IOC,-12%,154.50,"88,989,411"
91,Data Patterns (India) Ltd,DATAPATTNS,-12%,"2,617.75","954,722"
19,Abb India Limited,ABB,-12%,"7,666.75","1,346,607"
422,Ashok Leyland Limited,ASHOKLEY,-12%,207.75,"45,845,987"
253,Dlf Limited,DLF,-12%,763.00,"12,437,434"
400,Petronet Lng Limited,PETRONET,-12%,277.90,"13,035,095"
395,Power Grid Corporation Of India Limited,POWERGRID,-12%,295.95,"73,262,478"
312,Nippon Life India Asset Management Ltd,NAM-INDIA,-12%,546.40,"1,341,704"
28,Siemens Limited,SIEMENS,-12.4%,"6,372.15","1,238,880"
49,Nuvama Wealth Management Ltd,NUVAMA,-12%,"4,410.00","134,289"
183,Action Construction Equipment Limited,ACE,-12%,"1,269.40","1,042,444"
212,Kalpataru Projects International Ltd,KPIL,-12%,"1,070.55","439,869"
365,Tata Power Company Limited,TATAPOWER,-12%,399.60,"58,989,328"
115,Motilal Oswal Financial Services Limited,MOTILALOFS,-13%,"2,076.70","545,867"
75,Cummins India Limited,CUMMINSIND,-13%,"3,245.90","1,891,496"
333,Jindal Saw Limited,JINDALSAW,-13%,481.05,"2,622,916"
352,Hbl Power Systems Limited,HBLPOWER,-13%,439.95,"3,564,444"
71,Larsen & Toubro Limited,LT,-13%,"3,403.20","9,920,882"
488,Bank Of Maharashtra,MAHABANK,-13%,63.30,"69,644,328"
439,Indian Railway Finance Corporation Ltd,IRFC,-12.7%,164.95,"198,103,673"
118,Heg Limited,HEG,-13%,"1,987.60","460,669"
106,Angel One Ltd,ANGELONE,-12.8%,"2,247.85","1,337,948"
92,Godrej Properties Limited,GODREJPROP,-13%,"2,583.95","1,111,523"
151,Prestige Estates Projects Limited,PRESTIGE,-13%,"1,511.75","1,835,536"
299,Bharat Petroleum Corporation Limited,BPCL,-12.9%,580.20,"22,874,263"
335,Pnc Infratech Limited,PNCINFRA,-13%,475.20,"1,953,445"
227,Life Insurance Corporation of India,LICI,-13%,927.85,"11,529,105"
378,Rail Vikas Nigam Ltd,RVNL,-13%,351.50,"88,280,882"
492,Uco Bank,UCOBANK,-13%,53.65,"49,622,302"
478,Gmr Infrastructure Limited,GMRINFRA,-13%,76.60,"115,226,707"
320,Indian Bank,INDIANB,-13%,525.80,"10,042,618"
229,Indian Railway Catering & Tourism Corporation Ltd,IRCTC,-13%,912.05,"11,464,052"
377,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,-14%,351.95,"3,350,553"
463,Cesc Limited,CESC,-13.7%,131.35,"11,628,696"
351,Coal India Limited,COALINDIA,-14%,441.90,"48,046,493"
288,Rites Ltd,RITES,-14%,624.40,"3,396,674"
454,Rashtriya Chemicals And Fertilizers Limited,RCF,-13.9%,139.40,"6,960,856"
472,Nhpc Limited,NHPC,-14%,97.40,"284,068,043"
465,Sjvn Limited,SJVN,-14%,123.20,"91,763,944"
466,Bank Of India,BANKINDIA,-14%,116.35,"49,514,325"
418,Rbl Bank Limited,RBLBANK,-14%,224.20,"16,333,556"
380,Gujarat Mineral Development Corporation Limited,GMDCLTD,-14%,348.15,"4,239,913"
336,Welspun Corp Limited,WELCORP,-14%,471.25,"2,148,402"
432,The India Cements Limited,INDIACEM,-14%,184.70,"7,460,750"
469,Canara Bank,CANBK,-14%,109.85,"200,212,291"
251,State Bank Of India,SBIN,-14.4%,775.20,"122,381,193"
477,Idbi Bank Limited,IDBI,-15%,78.35,"30,342,749"
404,Ncc Limited,NCC,-15%,266.50,"25,928,252"
188,Patanjali Foods Ltd,PATANJALI,-15%,"1,244.20","1,593,461"
102,Acc Limited,ACC,-15%,"2,282.05","1,495,201"
331,Hindustan Petroleum Corporation Limited,HINDPETRO,-15%,494.75,"15,792,269"
373,Railtel Corporation of India Ltd,RAILTEL,-15.1%,364.70,"7,122,827"
489,Indian Overseas Bank,IOB,-15%,62.10,"61,800,928"
302,Lic Housing Finance Limited,LICHSGFIN,-15%,577.00,"10,513,971"
399,Vaibhav Global Limited,VAIBHAVGBL,-15%,277.90,"2,778,895"
390,Indus Towers Ltd (Bharti Infratel),INDUSTOWER,-15.4%,307.95,"28,901,481"
424,Nlc India Limited,NLCINDIA,-15%,204.05,"14,772,588"
384,Ntpc Limited,NTPC,-15%,331.25,"84,042,244"
70,HDFC Asset Management Company Ltd,HDFCAMC,-15%,"3,457.40","1,583,847"
468,Punjab National Bank,PNB,-15.8%,115.35,"169,672,083"
310,Jsw Energy Limited,JSWENERGY,-16%,553.30,"11,657,328"
426,New India Assurance Company Ltd,NIACL,-16%,200.00,"3,298,040"
490,Central Bank Of India,CENTRALBK,-16%,60.50,"69,488,360"
411,Bank Of Baroda,BANKBARODA,-16.4%,248.25,"84,878,240"
204,SignatureGlobal India Ltd,SIGNATURE,-16%,"1,111.50","747,917"
415,Oil & Natural Gas Corporation Limited,ONGC,-17%,236.30,"72,779,900"
308,Ambuja Cements Limited,AMBUJACEM,-17%,556.60,"20,044,195"
414,Ircon International Ltd,IRCON,-17.3%,237.30,"34,873,825"
419,Engineers India Limited,ENGINERSIN,-17%,222.35,"18,831,647"
262,Adani Power Limited,ADANIPOWER,-17%,722.95,"71,252,395"
430,Gail (india) Limited,GAIL,-18%,190.30,"144,638,353"
89,Mazagon Dock Shipbuilders Ltd,MAZDOCK,-18%,"2,679.50","5,276,862"
52,Hindustan Aeronautics Ltd,HAL,-18%,"4,333.35","15,486,676"
455,Union Bank Of India,UNIONBANK,-18%,139.00,"58,454,122"
231,Adani Total Gas Ltd,ATGL,-19%,908.70,"12,465,744"
321,Jupiter Wagons Ltd,JWL,-18.9%,524.90,"7,096,578"
443,National Aluminium Company Limited,NATIONALUM,-19%,158.55,"68,754,834"
224,Container Corporation Of India Limited,CONCOR,-19.2%,948.75,"11,525,081"
141,Adani Green Energy Ltd,ADANIGREEN,-19%,"1,646.00","8,291,356"
81,Adani Enterprises Limited,ADANIENT,-19%,"2,941.25","20,306,909"
84,Kaynes Technology India Ltd,KAYNES,-19%,"2,836.80","738,367"
393,Hindustan Copper Limited,HINDCOPPER,-19%,298.60,"35,052,909"
475,Himachal Futuristic Communications Limited,HFCL,-19%,83.45,"42,816,848"
64,Beml Limited,BEML,-20%,"3,757.05","1,453,571"
197,Titagarh Rail Systems Ltd,TITAGARH,-20%,"1,197.20","5,491,983"
410,Bharat Electronics Limited,BEL,-19.8%,255.55,"268,052,657"
470,The Jammu & Kashmir Bank Limited,J&KBANK,-20%,108.55,"30,329,311"
416,Housing and Urban Development Corporation,HUDCO,-20%,229.70,"49,414,908"
221,Adani Energy Solutions Ltd,ADANIENSOL,-20%,977.60,"8,110,623"
461,Steel Authority Of India Limited,SAIL,-20%,133.05,"114,541,715"
412,Bharat Heavy Electricals Limited,BHEL,-21%,246.55,"122,751,545"
187,Adani Ports And Special Economic Zone Limited,ADANIPORTS,-21%,"1,248.95","52,109,624"
355,Power Finance Corporation Limited,PFC,-23%,426.75,"108,815,947"
345,Rural Electrification Corporation Limited,RECLTD,-25%,452.20,"103,902,126"
